PlayerKey,PlayerName,Position,PositionGroup,Age,SalaryTeam,StatsTeam,Awards,QualifiedForValueRank,IsMatchedToStats,IsAllStar
P0001,A.J. Green,SG,Guard,26.0,MIL,MIL,,True,True,False
P0002,AJ Johnson,SG,Guard,21.0,DAL,2TM,,False,True,False
P0003,Aaron Gordon,PF,Forward,30.0,DEN,DEN,,True,True,False
P0004,Aaron Holiday,PG,Guard,29.0,HOU,HOU,,True,True,False
P0005,Aaron Nesmith,SF,Wing,26.0,IND,IND,,True,True,False
P0006,Aaron Wiggins,SG,Guard,27.0,OKC,OKC,,True,True,False
P0007,Ace Bailey,SF,Wing,19.0,UTA,UTA,,True,True,False
P0008,Adama-Alpha Bal,SG,Guard,22.0,MEM,MEM,,False,True,False
P0009,Adama-Alpha Bal,SG,Guard,22.0,MEM,MEM,,False,True,False
P0010,Adem Bona,C,Center,22.0,PHI,PHI,,True,True,False
P0011,Adou Thiero,SF,Wing,21.0,LAL,LAL,,False,True,False
P0012,Ajay Mitchell,SG,Guard,23.0,OKC,OKC,6MOY-5,True,True,False
P0013,Al Horford,C,Center,39.0,GSW,GSW,,True,True,False
P0014,Alex Caruso,SG,Guard,31.0,OKC,OKC,,True,True,False
P0015,Alex Sarr,C,Center,20.0,WAS,WAS,,True,True,False
P0016,Alondes Williams,SG,Guard,26.0,WAS,WAS,,False,True,False
P0017,Alperen Şengün,C,Center,23.0,HOU,HOU,AS,True,True,True
P0018,Amari Williams,PF,Forward,24.0,BOS,BOS,,False,True,False
P0019,Amen Thompson,PG,Guard,23.0,HOU,HOU,DPOY-8,True,True,False
P0020,Amir Coffey,SG,Guard,28.0,PHO,2TM,,False,True,False
P0021,Andre Drummond,C,Center,32.0,PHI,PHI,,True,True,False
P0022,Andre Jackson Jr.,SG,Guard,24.0,MIL,MIL,,False,True,False
P0023,Andrew Nembhard,PG,Guard,26.0,IND,IND,,True,True,False
P0024,Andrew Wiggins,SF,Wing,30.0,MIA,MIA,,True,True,False
P0025,Anfernee Simons,SG,Guard,26.0,CHI,2TM,,True,True,False
P0026,Anthony Black,PG,Guard,22.0,ORL,ORL,,True,True,False
P0027,Anthony Davis,PF,Forward,32.0,WAS,DAL,,True,True,False
P0028,Anthony Edwards,SG,Guard,24.0,MIN,MIN,"CPOY-3,AS",True,True,True
P0029,Anthony Gill,PF,Forward,33.0,WAS,WAS,,True,True,False
P0030,Ariel Hukporti,C,Center,23.0,NYK,NYK,,False,True,False
P0031,Asa Newell,PF,Forward,20.0,ATL,ATL,,True,True,False
P0032,Ausar Thompson,SF,Wing,23.0,DET,DET,"DPOY-3,DEF1",True,True,False
P0033,Austin Reaves,SG,Guard,27.0,LAL,LAL,,True,True,False
P0034,Ayo Dosunmu,SG,Guard,26.0,MIN,2TM,6MOY-9,True,True,False
P0035,Bam Adebayo,C,Center,28.0,MIA,MIA,"DPOY-11,DEF2",True,True,False
P0036,Baylor Scheierman,SG,Guard,25.0,BOS,BOS,,True,True,False
P0037,Ben Saraf,SG,Guard,19.0,BRK,BRK,,True,True,False
