PlayerKey,Season,PlayerName,SalaryTeam,StatsTeam,PTSPer100,TRBPer100,ASTPer100,STLPer100,BLKPer100,TOVPer100,PlayerORtg,PlayerDRtg
P0001,2025-26,A.J. Green,MIL,MIL,17.5,4.6,3.3,0.8,0.2,1.6,118.0,123.0
P0002,2025-26,AJ Johnson,DAL,2TM,16.7,5.7,4.9,1.1,0.3,3.1,88.0,123.0
P0003,2025-26,Aaron Gordon,DEN,DEN,28.3,10.1,4.7,1.0,0.5,1.8,127.0,118.0
P0004,2025-26,Aaron Holiday,HOU,HOU,20.0,3.7,3.8,1.7,0.3,2.4,117.0,117.0
P0005,2025-26,Aaron Nesmith,IND,IND,22.1,6.7,3.1,0.9,0.8,2.2,107.0,121.0
P0006,2025-26,Aaron Wiggins,OKC,OKC,20.9,6.8,3.7,2.1,1.0,2.8,104.0,109.0
P0007,2025-26,Ace Bailey,UTA,UTA,23.4,7.1,3.1,1.4,1.2,2.5,105.0,124.0
P0008,2025-26,Adama-Alpha Bal,MEM,MEM,16.3,4.9,3.7,1.8,0.2,1.2,119.0,121.0
P0009,2025-26,Adama-Alpha Bal,MEM,MEM,16.3,4.9,3.7,1.8,0.2,1.2,119.0,121.0
P0010,2025-26,Adem Bona,PHI,PHI,13.5,12.0,1.3,1.2,3.2,2.2,123.0,114.0
P0011,2025-26,Adou Thiero,LAL,LAL,15.4,9.2,3.3,2.3,0.7,2.9,111.0,116.0
P0012,2025-26,Ajay Mitchell,OKC,OKC,25.4,6.2,6.8,2.3,0.6,2.7,118.0,109.0
P0013,2025-26,Al Horford,GSW,GSW,18.6,11.0,5.8,1.5,2.6,2.1,116.0,113.0
P0014,2025-26,Alex Caruso,OKC,OKC,16.5,7.3,5.2,3.4,0.8,2.3,110.0,106.0
P0015,2025-26,Alex Sarr,WAS,WAS,28.4,12.9,4.7,1.4,3.4,3.0,110.0,119.0
P0016,2025-26,Alondes Williams,WAS,WAS,20.6,11.7,5.6,1.4,1.4,2.3,140.0,121.0
P0017,2025-26,Alperen Şengün,HOU,HOU,30.5,13.3,9.3,1.8,1.6,4.7,118.0,111.0
P0018,2025-26,Amari Williams,BOS,BOS,10.4,13.9,3.5,1.0,3.5,3.8,103.0,109.0
P0019,2025-26,Amen Thompson,HOU,HOU,24.4,10.4,7.1,2.0,0.8,3.2,125.0,114.0
P0020,2025-26,Amir Coffey,PHO,2TM,15.0,5.7,2.7,0.9,0.5,0.9,126.0,121.0
P0021,2025-26,Andre Drummond,PHI,PHI,15.8,20.9,3.1,1.5,1.9,2.4,119.0,111.0
P0022,2025-26,Andre Jackson Jr.,MIL,MIL,13.6,8.7,5.2,2.3,0.5,3.7,91.0,119.0
P0023,2025-26,Andrew Nembhard,IND,IND,25.7,4.3,11.6,1.4,0.2,3.6,115.0,122.0
P0024,2025-26,Andrew Wiggins,MIA,MIA,23.5,7.4,4.1,1.7,1.6,2.3,117.0,115.0
P0025,2025-26,Anfernee Simons,CHI,2TM,28.7,4.9,4.9,1.0,0.3,2.5,117.0,118.0
P0026,2025-26,Anthony Black,ORL,ORL,24.1,6.1,5.9,2.3,1.1,3.3,108.0,114.0
P0027,2025-26,Anthony Davis,WAS,DAL,30.7,16.7,4.2,1.7,2.5,3.1,111.0,111.0
P0028,2025-26,Anthony Edwards,MIN,MIN,39.3,6.7,5.0,1.9,1.1,3.9,117.0,114.0
P0029,2025-26,Anthony Gill,WAS,WAS,16.0,7.9,3.4,1.5,1.0,1.8,131.0,124.0
P0030,2025-26,Ariel Hukporti,NYK,NYK,11.6,15.8,2.9,0.9,2.6,3.2,118.0,111.0
P0031,2025-26,Asa Newell,ATL,ATL,21.4,9.1,2.5,1.5,1.4,2.2,120.0,115.0
P0032,2025-26,Ausar Thompson,DET,DET,18.4,10.7,5.8,3.7,1.8,2.8,115.0,105.0
P0033,2025-26,Austin Reaves,LAL,LAL,32.9,6.7,7.8,1.6,0.6,4.2,123.0,118.0
P0034,2025-26,Ayo Dosunmu,MIN,2TM,25.6,5.9,6.2,1.5,0.5,2.4,124.0,119.0
P0035,2025-26,Bam Adebayo,MIA,MIA,28.8,14.4,4.6,1.7,1.0,2.4,115.0,111.0
P0036,2025-26,Baylor Scheierman,BOS,BOS,15.1,9.5,4.1,1.5,0.2,1.6,128.0,114.0
P0037,2025-26,Ben Saraf,BRK,BRK,17.9,5.0,7.8,2.1,0.4,5.3,92.0,120.0
P0038,2025-26,Ben Sheppard,IND,IND,15.7,6.7,3.9,1.3,0.2,1.4,114.0,121.0
P0039,2025-26,Bennedict Mathurin,LAC,2TM,28.4,8.8,3.9,1.3,0.4,3.5,111.0,119.0
P0040,2025-26,Bilal Coulibaly,WAS,WAS,21.2,7.8,4.7,2.4,1.7,2.6,107.0,120.0
P0041,2025-26,Bismack Biyombo,SAS,SAS,7.8,8.9,1.7,1.4,0.7,2.7,101.0,112.0
P0042,2025-26,Blake Wesley,POR,POR,19.6,5.2,8.2,2.1,0.7,4.1,104.0,116.0
P0043,2025-26,Blake Wesley,WAS,POR,19.6,5.2,8.2,2.1,0.7,4.1,104.0,116.0
P0044,2025-26,Bobby Portis,MIL,MIL,27.8,13.0,3.2,1.2,0.4,2.0,114.0,118.0
P0045,2025-26,Bobi Klintman,DET,DET,15.0,12.9,4.1,2.0,0.0,4.1,83.0,109.0
P0046,2025-26,Bogdan Bogdanović,LAC,LAC,18.8,6.5,5.6,1.1,0.3,3.0,104.0,119.0
P0047,2025-26,Bones Hyland,MIN,MIN,24.5,5.2,7.6,1.8,0.7,2.8,120.0,116.0
P0048,2025-26,Bradley Beal,LAC,LAC,20.1,2.1,4.1,1.2,0.0,3.7,92.0,122.0
P0049,2025-26,Bradley Beal,PHO,LAC,20.1,2.1,4.1,1.2,0.0,3.7,92.0,122.0
P0050,2025-26,Brandin Podziemski,GSW,GSW,23.5,8.7,6.3,1.8,0.3,2.7,117.0,116.0
P0051,2025-26,Brandon Clarke,MEM,MEM,18.9,14.2,2.4,4.7,0.0,0.0,103.0,114.0
P0052,2025-26,Brandon Ingram,TOR,TOR,31.0,8.1,5.3,1.1,1.0,3.5,110.0,114.0
P0053,2025-26,Brandon Miller,CHO,CHO,33.0,8.0,5.5,1.7,1.1,4.1,114.0,114.0
P0054,2025-26,Brandon Williams,DAL,DAL,27.7,6.2,8.3,2.0,0.6,4.0,112.0,117.0
P0055,2025-26,Brice Sensabaugh,UTA,UTA,29.7,6.2,3.8,1.4,0.3,3.3,111.0,124.0
P0056,2025-26,Bronny James,LAL,LAL,15.9,3.0,6.6,2.5,0.5,3.3,102.0,118.0
P0057,2025-26,Brook Lopez,LAC,LAC,19.3,8.3,3.0,1.4,2.6,1.9,110.0,115.0
P0058,2025-26,Bruce Brown,DEN,DEN,15.9,7.8,4.2,2.1,0.5,2.2,113.0,117.0
P0059,2025-26,Bryce McGowens,NOP,NOP,18.5,4.8,3.4,1.5,0.5,0.9,128.0,122.0
P0060,2025-26,Bub Carrington,WAS,WAS,18.3,5.8,7.9,1.1,0.4,4.0,105.0,126.0
P0061,2025-26,Buddy Hield,ATL,2TM,23.0,6.9,4.2,2.3,0.5,2.8,109.0,116.0
P0062,2025-26,CJ McCollum,ATL,2TM,29.7,5.3,6.1,1.3,0.7,2.8,113.0,121.0
P0063,2025-26,Cade Cunningham,DET,DET,34.1,7.9,14.1,2.0,1.2,5.3,117.0,110.0
P0064,2025-26,Caleb Houstan,ATL,ATL,26.4,6.9,2.5,1.3,0.6,2.5,133.0,117.0
P0065,2025-26,Caleb Martin,DAL,DAL,12.5,7.9,4.5,2.2,0.8,2.2,106.0,115.0
P0066,2025-26,Cam Christie,LAC,LAC,16.2,8.1,3.2,1.7,0.3,2.3,102.0,118.0
P0067,2025-26,Cam Spencer,MEM,MEM,22.1,5.1,11.1,1.4,0.3,2.6,133.0,122.0
P0068,2025-26,Cam Thomas,BRK,2TM,31.8,4.0,6.1,0.5,0.2,4.1,103.0,124.0
P0069,2025-26,Cam Thomas,MIL,2TM,31.8,4.0,6.1,0.5,0.2,4.1,103.0,124.0
P0070,2025-26,Cam Whitmore,WAS,WAS,25.8,7.8,2.0,2.0,1.1,2.4,104.0,123.0
P0071,2025-26,Cameron Johnson,DEN,DEN,19.6,6.1,3.9,1.2,0.6,1.4,127.0,120.0
P0072,2025-26,Cameron Payne,PHI,PHI,21.0,5.7,7.5,3.1,0.9,1.4,115.0,114.0
P0073,2025-26,Caris LeVert,DET,DET,18.6,4.9,6.7,2.1,1.7,3.4,105.0,111.0
P0074,2025-26,Carter Bryant,SAS,SAS,17.5,10.5,2.8,0.9,1.4,1.9,108.0,112.0
P0075,2025-26,Cason Wallace,OKC,OKC,15.6,5.6,4.7,3.5,0.7,1.7,112.0,107.0
P0076,2025-26,Cedric Coward,MEM,MEM,25.0,10.8,5.1,1.2,0.8,3.1,114.0,119.0
P0077,2025-26,Charles Bassey,MEM,4TM,24.1,18.1,2.2,1.3,3.5,1.9,136.0,111.0
P0078,2025-26,Charles Bassey,PHI,4TM,24.1,18.1,2.2,1.3,3.5,1.9,136.0,111.0
P0079,2025-26,Charles Bassey,PHI,4TM,24.1,18.1,2.2,1.3,3.5,1.9,136.0,111.0
P0080,2025-26,Chaz Lanier,DET,DET,14.8,4.2,3.1,1.3,0.0,0.6,106.0,116.0
P0081,2025-26,Chet Holmgren,OKC,OKC,28.6,14.9,2.8,1.0,3.2,2.6,125.0,104.0
P0082,2025-26,Chris Boucher,UTA,BOS,11.3,9.7,1.6,2.7,3.8,0.5,94.0,106.0
P0083,2025-26,Chris Paul,TOR,LAC,10.3,6.1,11.6,2.4,0.0,3.5,101.0,117.0
P0084,2025-26,Christian Braun,DEN,DEN,18.3,7.4,4.2,1.0,0.4,1.5,125.0,120.0
P0085,2025-26,Christian Koloko,MEM,3TM,9.7,10.7,2.4,1.9,3.0,2.1,100.0,114.0
P0086,2025-26,Christian Koloko,MEM,3TM,9.7,10.7,2.4,1.9,3.0,2.1,100.0,114.0
P0087,2025-26,Clint Capela,HOU,HOU,15.2,18.6,2.7,1.9,3.4,2.2,122.0,108.0
P0088,2025-26,Coby White,CHO,2TM,33.1,6.5,7.6,1.0,0.2,4.9,113.0,120.0
P0089,2025-26,Cody Williams,UTA,UTA,16.9,5.7,3.9,1.5,0.7,2.1,107.0,124.0
P0090,2025-26,Cole Anthony,MEM,MIL,21.8,8.1,11.3,1.9,1.0,6.1,96.0,118.0
P0091,2025-26,Cole Anthony,PHO,MIL,21.8,8.1,11.3,1.9,1.0,6.1,96.0,118.0
P0092,2025-26,Collin Gillespie,PHO,PHO,21.9,7.1,8.0,2.1,0.3,2.7,121.0,115.0
P0093,2025-26,Collin Murray-Boyles,TOR,TOR,18.9,11.2,4.1,2.0,2.1,2.3,125.0,112.0
P0094,2025-26,Collin Sexton,CHI,2TM,31.5,4.6,6.7,2.3,0.3,4.2,117.0,117.0
P0095,2025-26,Cooper Flagg,DAL,DAL,29.6,9.4,6.4,1.7,1.3,3.2,110.0,115.0
P0096,2025-26,Corey Kispert,ATL,2TM,23.3,5.8,4.0,0.7,0.4,2.0,119.0,121.0
P0097,2025-26,Craig Porter Jr.,CLE,CLE,12.1,9.2,8.6,2.4,1.6,2.5,121.0,114.0
P0098,2025-26,D'Angelo Russell,WAS,DAL,25.2,5.8,9.9,1.1,0.2,4.7,102.0,119.0
P0099,2025-26,DaRon Holmes,DEN,DEN,21.6,8.1,3.7,0.2,1.4,2.8,124.0,120.0
P0100,2025-26,Dalano Banton,BOS,2TM,9.8,4.1,9.0,1.6,4.1,6.5,84.0,113.0
P0101,2025-26,Dalano Banton,LAC,2TM,9.8,4.1,9.0,1.6,4.1,6.5,84.0,113.0
P0102,2025-26,Dalen Terry,NOP,2TM,15.1,7.4,5.7,2.5,1.3,2.2,110.0,116.0
P0103,2025-26,Dalton Knecht,LAL,LAL,20.1,6.6,1.9,1.0,1.0,2.0,108.0,119.0
P0106,2025-26,Daniel Gafford,DAL,DAL,20.7,14.9,2.3,1.7,2.7,2.5,129.0,112.0
P0107,2025-26,Daniss Jenkins,DET,DET,22.3,5.5,9.2,2.1,0.5,3.8,111.0,113.0
P0108,2025-26,Danny Wolf,BRK,BRK,21.2,11.7,5.3,1.2,1.3,3.0,105.0,118.0
P0110,2025-26,Dario Šarić,DET,SAC,5.9,7.1,2.4,0.0,0.0,2.4,78.0,126.0
P0111,2025-26,Dariq Whitehead,BRK,MEM,25.4,6.2,2.3,1.0,0.0,2.6,96.0,122.0
P0112,2025-26,Darius Garland,LAC,2TM,30.6,3.9,10.9,1.6,0.3,4.7,115.0,119.0
P0113,2025-26,Davion Mitchell,MIA,MIA,15.2,4.3,10.5,1.6,0.3,2.5,122.0,118.0
P0114,2025-26,Day'Ron Sharpe,BRK,BRK,23.0,17.6,6.2,2.9,1.1,4.5,121.0,114.0
P0115,2025-26,De'Aaron Fox,SAS,SAS,28.8,5.8,9.6,1.9,0.4,3.5,117.0,113.0
P0116,2025-26,De'Andre Hunter,SAC,2TM,25.1,7.6,3.7,1.2,0.2,3.1,107.0,118.0
P0117,2025-26,De'Anthony Melton,GSW,GSW,25.9,6.8,5.4,3.3,0.9,3.9,102.0,113.0
P0118,2025-26,DeAndre Jordan,NOP,NOP,12.7,18.3,2.6,1.0,2.4,2.2,132.0,115.0
P0119,2025-26,DeMar DeRozan,SAC,SAC,28.5,4.5,6.4,1.6,0.5,1.9,124.0,124.0
P0120,2025-26,Dean Wade,CLE,CLE,12.5,9.0,3.2,1.6,0.8,0.6,130.0,115.0
P0121,2025-26,Deandre Ayton,LAL,LAL,22.4,14.3,1.5,1.0,1.7,2.1,129.0,115.0
P0122,2025-26,Deandre Ayton,POR,LAL,22.4,14.3,1.5,1.0,1.7,2.1,129.0,115.0
P0123,2025-26,Dejounte Murray,NOP,NOP,28.8,9.2,10.9,2.8,0.4,5.8,109.0,116.0
P0124,2025-26,Deni Avdija,POR,POR,34.7,9.9,9.6,1.1,0.9,5.5,119.0,115.0
P0125,2025-26,Dennis Schröder,CLE,2TM,21.5,5.4,9.7,1.6,0.3,3.5,111.0,121.0
P0126,2025-26,Dereck Lively II,DAL,DAL,12.3,15.2,5.3,1.6,4.5,4.1,119.0,110.0
P0127,2025-26,Derik Queen,NOP,NOP,22.4,13.5,7.0,2.0,1.7,4.5,108.0,115.0
P0128,2025-26,Derrick Jones Jr.,LAC,LAC,18.6,6.4,2.5,1.7,1.8,1.5,122.0,117.0
P0129,2025-26,Derrick White,BOS,BOS,24.4,6.5,8.0,1.7,1.9,2.6,117.0,113.0
