Season,SeasonEndYear,PlayerKeyRaw,PlayerName,PlayoffTeam,Pos,PlayoffGames,PlayoffGamesStarted,PlayoffMinutes,PlayoffPoints,PlayoffRebounds,PlayoffAssists,PlayoffSteals,PlayoffBlocks,PlayoffTurnovers,PlayoffTS_Pct,PlayoffProductionScore,PlayoffEstimatedWinShares,PlayerKey,PlayerSeasonKey,PlayerKey_Fact,PlayerSeasonKey_Fact,Salary,SalaryMillions,ContractTier,PlayerValueTier,PlayoffValueScore,CostPerPlayoffPoint,CostPerPlayoffEstimatedWinShare
2021-22,2022,jayson tatum,Jayson Tatum,BOS,F,24,,984.0,614.4000000000001,160.8,148.8,28.799999999999997,21.6,100.80000000000001,0.5608131791097092,1080.9600000000003,3.603200000000001,P00458,P00458-2022,P00458,P00458-2022,28103500.0,28.1035,High-Salary Starter,Expensive but Worth It,38.4635365701781,45741.37369791666,7799594.804618115
2021-22,2022,stephen curry,Stephen Curry,GSW,G,22,,763.4000000000001,602.8,114.4,129.8,28.6,8.8,57.2,0.6063020003540449,989.78,3.2992666666666666,P00868,P00868-2022,P00868,P00868-2022,45780966.0,45.780966,Max / Supermax-Level,Expensive but Worth It,21.619902035269416,75947.18978102191,13876103.578573016
2021-22,2022,jaylen brown,Jaylen Brown,BOS,G,24,,919.1999999999999,554.4000000000001,165.60000000000002,84.0,26.400000000000002,9.600000000000001,74.4,0.5798192771084338,912.7200000000001,3.0424000000000007,P00447,P00447-2022,P00447,P00447-2022,26758928.0,26.758928,High-Salary Starter,Expensive but Worth It,34.10898971737583,48266.464646464636,8795335.26163555
2021-22,2022,jimmy butler iii,Jimmy Butler III,MIA,F,17,,629.0,465.79999999999995,125.80000000000001,78.19999999999999,35.7,10.2,25.5,0.6026746436741157,846.26,2.820866666666667,P00473,P00473-2022,P00473,P00473-2022,36016200.0,36.0162,Max / Supermax-Level,Expensive but Worth It,23.49664873029359,77321.16788321169,12767778.224186419
2021-22,2022,luka doncic,Luka Doncic,DAL,G,15,,552.0,475.5,147.0,96.0,27.0,9.0,58.5,0.5772032046613256,845.4,2.818,P00633,P00633-2022,P00633,P00633-2022,10174391.0,10.174391,Mid-Tier Rotation Contract,Expensive but Worth It,83.09096829480998,21397.247108307045,3610500.709723208
2021-22,2022,al horford,Al Horford,BOS,C,23,,814.1999999999999,276.0,213.9,75.89999999999999,18.400000000000002,29.900000000000002,29.900000000000002,0.6590509666080843,761.5300000000002,2.538433333333334,P00020,P00020-2022,P00020,P00020-2022,27000000.0,27.0,High-Salary Starter,High-Cost Low-Return,28.20481481481482,97826.08695652174,10636481.81949496
2021-22,2022,giannis antetokounmpo,Giannis Antetokounmpo,MIL,F,12,,447.59999999999997,380.4,170.39999999999998,81.6,8.399999999999999,15.600000000000001,54.0,0.5517265385686438,725.2799999999999,2.4175999999999997,P00323,P00323-2022,P00323,P00323-2022,39344970.0,39.34497,Max / Supermax-Level,Expensive but Worth It,18.433868420791775,103430.52050473187,16274391.958967572
2021-22,2022,andrew wiggins,Andrew Wiggins,GSW,F,22,,767.8,363.0,165.0,39.6,22.0,22.0,30.799999999999997,0.5420499342969776,721.6,2.4053333333333335,P00046,P00046-2022,P00046,P00046-2022,31579390.0,31.57939,High-Salary Starter,High-Cost Low-Return,22.850346380978227,86995.56473829201,13128903.824833702
2021-22,2022,klay thompson,Klay Thompson,GSW,G,22,,792.0,418.0,85.8,50.599999999999994,24.200000000000003,15.399999999999999,28.6,0.5486255486255486,687.0600000000001,2.2902,P00589,P00589-2022,P00589,P00589-2022,37980720.0,37.98072,Max / Supermax-Level,High-Cost Low-Return,18.08970446057895,90862.96650717703,16584018.8629814
2021-22,2022,marcus smart,Marcus Smart,BOS,G,21,,760.2,323.40000000000003,94.5,123.9,25.2,4.2,52.5,0.5266757865937073,658.3500000000001,2.1945000000000006,P00658,P00658-2022,P00658,P00658-2022,14339285.0,14.339285,Mid-Tier Rotation Contract,Market Neutral,45.912331054163445,44339.16202844774,6534192.298929139
2021-22,2022,draymond green,Draymond Green,GSW,F,22,,704.0,176.0,158.4,138.6,24.200000000000003,22.0,59.400000000000006,0.5387931034482758,653.1800000000001,2.1772666666666667,P00266,P00266-2022,P00266,P00266-2022,24026712.0,24.026712,High-Salary Starter,High-Cost Low-Return,27.18557578748187,136515.4090909091,11035263.786398849
2021-22,2022,jalen brunson,Jalen Brunson,DAL,G,18,,628.1999999999999,388.8,82.8,66.60000000000001,14.4,1.8,19.8,0.5538461538461538,616.8600000000001,2.0562000000000005,P00402,P00402-2022,P00402,P00402-2022,1802057.0,1.802057,Minimum / Two-Way / Replacement,Bargain Star,342.30881709069143,4634.9202674897115,876401.614628927
2021-22,2022,jordan poole,Jordan Poole,GSW,G,22,,605.0,374.0,61.599999999999994,83.6,17.6,8.8,52.8,0.6585063526495197,599.7199999999999,1.9990666666666663,P00505,P00505-2022,P00505,P00505-2022,2161440.0,2.16144,Minimum / Two-Way / Replacement,Bargain Star,277.4631726996817,5779.2513368983955,1081224.5714666846
2021-22,2022,bam adebayo,Bam Adebayo,MIA,C,18,,613.8000000000001,266.40000000000003,144.0,48.6,18.0,12.6,37.800000000000004,0.6408036023553862,566.1,1.887,P00066,P00066-2022,P00066,P00066-2022,28103500.0,28.1035,High-Salary Starter,Expensive but Worth It,20.1433985090825,105493.61861861861,14893216.746157922
2021-22,2022,ja morant,Ja Morant,MEM,G,9,,338.40000000000003,243.9,72.0,88.2,18.0,3.6,32.4,0.5492946327225555,495.0,1.65,P00375,P00375-2022,P00375,P00375-2022,9603360.0,9.60336,Mid-Tier Rotation Contract,Market Neutral,51.54445943919628,39374.16974169741,5820218.181818183
2021-22,2022,chris paul,Chris Paul,PHO,G,13,,448.5,227.5,54.6,107.9,19.5,2.6,31.2,0.6663113006396588,489.96999999999997,1.6332333333333333,P00152,P00152-2022,P00152,P00152-2022,30000000.0,30.0,High-Salary Starter,Expensive but Worth It,16.33233333333333,131868.13186813187,18368471.53907382
2021-22,2022,jrue holiday,Jrue Holiday,MIL,G,12,,463.20000000000005,229.20000000000002,67.19999999999999,78.0,21.6,7.199999999999999,33.599999999999994,0.46037408407250285,479.64,1.5988,P00519,P00519-2022,P00519,P00519-2022,32413333.0,32.413333,High-Salary Starter,Expensive but Worth It,14.797614302731532,141419.42844677137,20273538.27870903
2021-22,2022,james harden,James Harden,PHI,G,12,,478.79999999999995,223.20000000000002,68.4,103.19999999999999,9.600000000000001,8.399999999999999,50.400000000000006,0.5822689706987229,463.68000000000006,1.5456000000000003,P00420,P00420-2022,P00420,P00420-2022,44310840.0,44.31084,Max / Supermax-Level,Expensive but Worth It,10.464256601770584,198525.26881720428,28669021.73913043
2021-22,2022,derrick white,Derrick White,BOS,G,23,,584.1999999999999,195.5,69.0,62.1,20.7,13.799999999999999,29.900000000000002,0.4903091832025842,445.05000000000007,1.4835000000000003,P00243,P00243-2022,P00243,P00243-2022,15178571.0,15.178571,Mid-Tier Rotation Contract,Market Neutral,29.320942004356013,77639.74936061382,10231594.876980113
2021-22,2022,kevon looney,Kevon Looney,GSW,F,22,,448.79999999999995,127.6,167.2,48.400000000000006,8.8,11.0,19.8,0.6663602941176471,440.44,1.4681333333333333,P00580,P00580-2022,P00580,P00580-2022,5178572.0,5.178572,Low-Cost Rotation Contract,Market Neutral,85.05047337374087,40584.42006269593,3527317.2282263194
2021-22,2022,spencer dinwiddie,Spencer Dinwiddie,DAL,PG,18,,500.40000000000003,255.6,43.199999999999996,64.8,14.4,5.3999999999999995,28.8,0.5759247242050617,435.23999999999995,1.4507999999999999,P00864,P00864-2022,P00864,P00864-2022,17142857.0,17.142857,Mid-Tier Rotation Contract,High-Cost Low-Return,25.389000211575,67069.08059467918,11816140.749931073
2021-22,2022,dorian finney smith,Dorian Finney-Smith,DAL,F,18,,687.6,210.6,99.0,34.199999999999996,16.2,7.2,18.0,0.6309318377911993,432.9,1.4429999999999998,P00263,P00263-2022,P00263,P00263-2022,4000000.0,4.0,Low-Cost Rotation Contract,Market Neutral,108.225,18993.35232668566,2772002.7720027724
2021-22,2022,deandre ayton,Deandre Ayton,PHO,C,13,,396.5,232.7,115.7,22.099999999999998,5.2,10.4,19.5,0.6532846715328468,431.98999999999995,1.4399666666666666,P00228,P00228-2022,P00228,P00228-2022,12632950.0,12.63295,Mid-Tier Rotation Contract,Market Neutral,34.19549669712933,54288.568972926514,8773085.025116323
2021-22,2022,robert williams iii,Robert Williams III,BOS,C,17,,394.4,130.9,105.4,17.0,11.899999999999999,37.400000000000006,10.2,0.7258672699849171,420.58,1.4019333333333333,P00815,P00815-2022,P00815,P00815-2022,3661976.0,3.661976,Low-Cost Rotation Contract,Efficient Role Player,114.8505615547453,27975.370511841098,2612089.970992439
2021-22,2022,tobias harris,Tobias Harris,PHI,F,12,,465.59999999999997,202.79999999999998,91.19999999999999,34.8,13.200000000000001,9.600000000000001,18.0,0.5912398544640358,414.84,1.3827999999999998,P00900,P00900-2022,P00900,P00900-2022,35995950.0,35.99595,Max / Supermax-Level,Expensive but Worth It,11.524629854191929,177494.8224852071,26031204.80185132
2021-22,2022,grant williams,Grant Williams,BOS,F,24,,655.2,206.39999999999998,91.19999999999999,19.200000000000003,7.199999999999999,19.200000000000003,19.200000000000003,0.5916345624656026,404.64000000000004,1.3488000000000002,P00330,P00330-2022,P00330,P00330-2022,2617800.0,2.6178,Minimum / Two-Way / Replacement,Market Neutral,154.57254182901676,12683.139534883723,1940836.298932384
2021-22,2022,jaren jackson jr,Jaren Jackson Jr.,MEM,F,12,,332.4,184.8,81.6,10.8,9.600000000000001,30.0,16.799999999999997,0.515532940546331,400.92,1.3364,P00431,P00431-2022,P00431,P00431-2022,9180560.0,9.18056,Mid-Tier Rotation Contract,Market Neutral,43.6705386163807,49678.354978354975,6869619.8742891345
2021-22,2022,joel embiid,Joel Embiid,PHI,C,10,,385.0,236.0,107.0,21.0,4.0,8.0,32.0,0.5895283772981614,399.9,1.333,P00481,P00481-2022,P00481,P00481-2022,31579390.0,31.57939,High-Salary Starter,Expensive but Worth It,12.66332250242959,133810.9745762712,23690465.11627907
2021-22,2022,reggie bullock jr,Reggie Bullock Jr.,DAL,SF,18,,707.4,190.79999999999998,82.8,30.599999999999998,21.599999999999998,1.8,7.2,0.5995475113122172,399.05999999999995,1.3301999999999998,P00805,P00805-2022,P00805,P00805-2022,9536000.0,9.536,Mid-Tier Rotation Contract,Market Neutral,41.847734899328856,49979.035639413,7168846.789956398
2021-22,2022,max strus,Max Strus,MIA,G,18,,523.8000000000001,196.20000000000002,73.8,37.800000000000004,14.4,7.2,19.8,0.5170777988614802,386.46,1.2882,P00680,P00680-2022,P00680,P00680-2022,1669178.0,1.669178,Minimum / Two-Way / Replacement,Efficient Role Player,231.5271349131129,8507.533129459734,1295744.4496196243
2021-22,2022,tyrese maxey,Tyrese Maxey,PHI,G,12,,484.79999999999995,249.60000000000002,42.0,46.8,9.600000000000001,2.4000000000000004,21.6,0.610042233693102,384.59999999999997,1.2819999999999998,P00946,P00946-2022,P00946,P00946-2022,2602920.0,2.60292,Minimum / Two-Way / Replacement,Bargain Star,147.75713429532985,10428.365384615383,2030358.8143525745
2021-22,2022,mikal bridges,Mikal Bridges,PHO,G,13,,500.5,172.9,61.1,36.4,14.3,13.0,10.4,0.5726834309335171,372.32000000000005,1.2410666666666668,P00692,P00692-2022,P00692,P00692-2022,5557725.0,5.557725,Low-Cost Rotation Contract,Market Neutral,66.99143984274143,32144.15847310584,4478184.088955737
2021-22,2022,desmond bane,Desmond Bane,MEM,G,12,,428.40000000000003,225.60000000000002,45.599999999999994,26.400000000000002,10.8,9.600000000000001,15.600000000000001,0.6448957189901207,365.52000000000004,1.2184000000000001,P00244,P00244-2022,P00244,P00244-2022,2033160.0,2.03316,Minimum / Two-Way / Replacement,Bargain Star,179.7792598713333,9012.234042553191,1668713.0663164805
2021-22,2022,p j tucker,P.J. Tucker,MIA,PF,18,,509.40000000000003,142.20000000000002,102.60000000000001,32.4,14.4,5.3999999999999995,12.6,0.6080665024630543,360.72,1.2024000000000001,P00762,P00762-2022,P00762,P00762-2022,7000000.0,7.0,Low-Cost Rotation Contract,Market Neutral,51.53142857142858,49226.44163150492,5821689.953426479
2021-22,2022,devin booker,Devin Booker,PHO,G,10,,366.0,233.0,48.0,44.0,5.0,4.0,32.0,0.5874344493747479,351.6,1.1720000000000002,P00245,P00245-2022,P00245,P00245-2022,31650600.0,31.6506,High-Salary Starter,Expensive but Worth It,11.10879414608254,135839.48497854077,27005631.399317402
2021-22,2022,tyler herro,Tyler Herro,MIA,G,15,,381.0,189.0,58.5,42.0,9.0,6.0,27.0,0.48867514737821904,340.2,1.134,P00939,P00939-2022,P00939,P00939-2022,4004280.0,4.00428,Low-Cost Rotation Contract,Efficient Role Player,84.95909376966647,21186.666666666668,3531111.1111111115
2021-22,2022,maxi kleber,Maxi Kleber,DAL,F,18,,457.2,156.6,82.8,19.8,3.6,14.4,10.799999999999999,0.6767268201617921,328.85999999999996,1.0961999999999998,P00681,P00681-2022,P00681,P00681-2022,8975000.0,8.975,Low-Cost Rotation Contract,Market Neutral,36.64178272980501,57311.62196679438,8187374.566684913
2021-22,2022,brandon clarke,Brandon Clarke,MEM,F,12,,296.4,147.60000000000002,82.80000000000001,24.0,9.600000000000001,9.600000000000001,12.0,0.6419624217118999,328.56000000000006,1.0952000000000002,P00091,P00091-2022,P00091,P00091-2022,2726880.0,2.72688,Minimum / Two-Way / Replacement,Efficient Role Player,120.4893504664672,18474.796747967477,2489846.6033601165
