PlayerKey,Season,PlayerName,SalaryTeam,StatsTeam,AvgShotDistance,FGA_2P_Frequency,FGA_0_3_Frequency,FGA_3_10_Frequency,FGA_10_16_Frequency,FGA_16_3P_Frequency,FGA_3P_Frequency,FG_2P_Pct,FG_0_3_Pct,FG_3_10_Pct,FG_10_16_Pct,FG_16_3P_Pct,FG_3P_Pct,Assisted2P_Pct,Assisted3P_Pct,Dunk_FGA_Pct,DunksMade,Corner3_Frequency,Corner3Pct,HalfCourtAttempts,HalfCourtMakes
P0001,2025-26,A.J. Green,MIL,MIL,24.1,0.104,0.026,0.019,0.032,0.026,0.896,0.469,0.563,0.5,0.5,0.313,0.419,0.7,0.927,0.002,0.0,0.258,0.503,0.0,0.0
P0002,2025-26,AJ Johnson,DAL,2TM,11.0,0.676,0.352,0.301,0.011,0.011,0.324,0.378,0.5,0.264,0.0,0.0,0.211,0.356,0.75,0.068,8.0,0.193,0.273,0.0,0.0
P0003,2025-26,Aaron Gordon,DEN,DEN,13.7,0.606,0.294,0.148,0.093,0.07,0.394,0.568,0.769,0.356,0.378,0.429,0.389,0.642,0.852,0.113,42.0,0.242,0.447,0.0,0.0
P0004,2025-26,Aaron Holiday,HOU,HOU,20.0,0.325,0.067,0.139,0.083,0.036,0.675,0.463,0.588,0.657,0.19,0.111,0.394,0.237,0.94,0.004,1.0,0.3,0.49,0.0,0.0
P0005,2025-26,Aaron Nesmith,IND,IND,17.2,0.459,0.152,0.15,0.104,0.053,0.541,0.455,0.526,0.442,0.472,0.259,0.379,0.804,0.971,0.027,8.0,0.274,0.434,0.0,0.0
P0006,2025-26,Aaron Wiggins,OKC,OKC,15.1,0.496,0.239,0.19,0.052,0.015,0.504,0.508,0.617,0.402,0.393,0.5,0.356,0.556,0.854,0.035,18.0,0.281,0.368,0.0,0.0
P0007,2025-26,Ace Bailey,UTA,UTA,16.4,0.554,0.146,0.161,0.103,0.143,0.446,0.522,0.692,0.569,0.391,0.391,0.344,0.69,0.898,0.103,79.0,0.261,0.308,0.0,0.0
P0008,2025-26,Adama-Alpha Bal,MEM,MEM,18.3,0.353,0.176,0.103,0.044,0.029,0.647,0.417,0.667,0.286,0.0,0.0,0.409,0.7,0.833,0.0,0.0,0.318,0.357,0.0,0.0
P0009,2025-26,Adama-Alpha Bal,MEM,MEM,18.3,0.353,0.176,0.103,0.044,0.029,0.647,0.417,0.667,0.286,0.0,0.0,0.409,0.7,0.833,0.0,0.0,0.318,0.357,0.0,0.0
P0010,2025-26,Adem Bona,PHI,PHI,2.7,0.973,0.755,0.209,0.009,0.0,0.027,0.603,0.669,0.391,0.0,,0.333,0.589,1.0,0.355,69.0,0.833,0.2,0.0,0.0
P0011,2025-26,Adou Thiero,LAL,LAL,5.2,0.903,0.548,0.355,0.0,0.0,0.097,0.536,0.706,0.273,,,0.333,0.867,1.0,0.29,8.0,0.0,,0.0,0.0
P0012,2025-26,Ajay Mitchell,OKC,OKC,11.9,0.702,0.2,0.364,0.098,0.039,0.298,0.543,0.72,0.474,0.569,0.217,0.347,0.329,0.77,0.007,4.0,0.267,0.404,0.0,0.0
P0013,2025-26,Al Horford,GSW,GSW,18.3,0.367,0.099,0.222,0.034,0.012,0.633,0.538,0.688,0.458,0.545,0.75,0.361,0.703,0.986,0.012,4.0,0.215,0.386,0.0,0.0
P0014,2025-26,Alex Caruso,OKC,OKC,16.4,0.397,0.23,0.133,0.023,0.01,0.603,0.622,0.725,0.45,0.571,0.667,0.293,0.689,0.981,0.027,7.0,0.436,0.241,0.0,0.0
P0015,2025-26,Alex Sarr,WAS,WAS,10.5,0.771,0.262,0.363,0.104,0.043,0.229,0.526,0.756,0.429,0.382,0.286,0.333,0.677,0.9,0.113,69.0,0.073,0.364,0.0,0.0
