Season,TeamKey,TeamName,Conference,Division,Payroll,PayrollMillions,GuaranteedSalary,PlayerCount,QualifiedPlayers,TotalPoints,TotalRebounds,TotalAssists,TotalWinShares,TotalVORP,ProductionScore,CostPerPoint,CostPerWinShare,PointsPerMillion,ValueScore
2025-26,DAL,Dallas Mavericks,West,Southwest,143680886.0,143.680886,356727426.0,16,13,9256.0,3624.0,1911.0,30.2,4.6000000000000005,18484.3,15522.99978392394,4757645.231788079,64.42053816399769,128.64828798452706
2025-26,MIA,Miami Heat,East,Southeast,159804115.0,159.804115,383668479.0,14,12,9871.0,3780.0,2362.0,46.1,13.0,20039.0,16189.252861918752,3466466.7028199565,61.76937308529258,125.3972715283333
2025-26,BRK,Brooklyn Nets,East,Atlantic,154828413.0,154.828413,266150810.0,27,16,9336.0,3533.0,2191.0,20.2,-3.0,18832.1,16584.02024421594,7664772.9207920795,60.299009846467904,121.63206762314354
2025-26,IND,Indiana Pacers,East,Central,151010759.0,151.010759,457703876.0,26,12,8966.0,3779.0,2108.0,28.0,1.5,18299.8,16842.600825340174,5393241.392857143,59.37325300113219,121.18209405198738
2025-26,UTA,Utah Jazz,West,Northwest,175524396.0,175.524396,506031426.0,19,15,10200.0,3735.0,2439.0,23.6,2.7,20391.5,17208.27411764706,7437474.406779661,58.11158011334219,116.17473390992328
2025-26,ATL,Atlanta Hawks,East,Southeast,185249292.0,185.249292,515232010.0,17,14,10537.0,3973.0,2541.0,45.3,11.3,21464.1,17580.838189237922,4089388.344370861,56.88010942573535,115.8660298685514
2025-26,POR,Portland Trail Blazers,West,Northwest,184401188.0,184.401188,466539047.0,16,13,10333.0,4369.0,2082.0,49.1,10.7,21086.8,17845.851930707442,3755625.0101832994,56.035430747875665,114.35284245565707
2025-26,HOU,Houston Rockets,West,Southwest,169689411.0,169.689411,536922254.0,13,11,9340.0,3893.0,2043.0,55.1,15.7,19375.1,18168.031156316916,3079662.6315789474,55.04173740104502,114.17978226113354
2025-26,DET,Detroit Pistons,East,Central,185911869.0,185.911869,465950174.0,17,12,9806.0,3782.0,2329.0,60.0,18.4,20869.9,18958.99133183765,3098531.15,52.745422079533824,112.25695332017776
2025-26,SAS,San Antonio Spurs,West,Southwest,189057673.0,189.057673,557961243.0,17,10,9873.0,3965.0,2329.0,61.3,19.6,20309.5,19148.959080320066,3084138.2218597066,52.22215974275744,107.42489145098068
2025-26,MIL,Milwaukee Bucks,East,Central,161863625.0,161.863625,350406149.0,17,13,8879.0,3218.0,2028.0,25.3,2.0000000000000004,17295.6,18229.938619213877,6397771.739130435,54.854819913986226,106.85291398855053
2025-26,OKC,Oklahoma City Thunder,West,Northwest,182795110.0,182.79511,1018867503.0,15,13,9520.0,3464.0,2105.0,64.1,21.6,19479.3,19201.16701680672,2851717.784711389,52.08016779004647,106.56357273452227
2025-26,TOR,Toronto Raptors,East,Atlantic,187024115.0,187.024115,629152463.0,16,11,9270.0,3451.0,2444.0,48.3,13.5,19333.2,20175.201186623515,3872134.8861283646,49.56580064554777,103.3727655922874
2025-26,DEN,Denver Nuggets,West,Northwest,186699349.0,186.699349,640920866.0,14,13,9864.0,3517.0,2323.0,53.300000000000004,15.799999999999999,19199.9,18927.346816707217,3502802.045028142,52.8336068274132,102.83860175645283
2025-26,CHO,Charlotte Hornets,East,Southeast,193833405.0,193.833405,422937851.0,19,13,9941.0,3900.0,2309.0,53.6,14.7,19807.5,19498.380947590787,3616294.869402985,51.286309498613,102.18826832248033
2025-26,NOP,New Orleans Pelicans,West,Southwest,187545829.0,187.545829,521736141.0,16,13,9241.0,3531.0,1981.0,31.4,5.1,18804.7,20294.971215236445,5972797.101910829,49.27328989012067,100.26722588429307
2025-26,MEM,Memphis Grizzlies,West,Southwest,158180448.0,158.180448,310720837.0,25,12,7540.0,2793.0,2098.0,21.7,1.7000000000000002,15830.6,20978.83925729443,7289421.566820277,47.667079562197216,100.07937264155427
2025-26,BOS,Boston Celtics,East,Atlantic,189660536.0,189.660536,681153580.0,15,10,9221.0,3929.0,2058.0,58.2,18.7,18972.8,20568.326211907603,3258772.0962199313,48.61844321688514,100.0355709213012
2025-26,MIN,Minnesota Timberwolves,West,Northwest,204249210.0,204.24921,598973243.0,14,11,10107.0,3615.0,2165.0,52.0,14.3,20119.5,20208.68803799347,3927869.423076923,49.48366752556839,98.50466496296363
2025-26,PHI,Philadelphia 76ers,East,Atlantic,193760148.0,193.760148,513619908.0,18,12,9227.0,3573.0,1920.0,42.9,10.100000000000001,18952.6,20999.257396770347,4516553.566433567,47.6207315861464,97.81474774678641
2025-26,CLE,Cleveland Cavaliers,East,Central,211716257.0,211.716257,596414198.0,15,13,10327.0,3590.0,2485.0,52.6,16.4,20656.5,20501.23530550983,4025023.897338403,48.77754852807548,97.56690531327502
2025-26,ORL,Orlando Magic,East,Southeast,194151756.0,194.151756,867779811.0,14,13,9236.0,3437.0,2043.0,40.5,11.1,18467.9,21021.194889562583,4793870.518518519,47.57103510307679,95.12095270464616
2025-26,CHI,Chicago Bulls,East,Central,183704631.0,183.704631,334161219.0,16,14,8721.0,3158.0,2061.0,28.1,3.1,17269.1,21064.629170966633,6537531.3523131665,47.472945850777165,94.00470693632104
2025-26,PHO,Phoenix Suns,West,Pacific,197855783.0,197.855783,555231224.0,17,12,9226.0,3442.0,2057.0,43.8,10.9,18581.9,21445.456644266204,4517255.319634704,46.62992337201486,93.91638555240006
2025-26,NYK,New York Knicks,East,Atlantic,225202056.0,225.202056,569380966.0,15,12,9803.0,3785.0,2359.0,58.8,17.7,19856.5,22972.769152300316,3829966.9387755105,43.52979796951765,88.17193036639061
2025-26,SAC,Sacramento Kings,West,Pacific,186483871.0,186.483871,476237017.0,15,11,8426.0,3059.0,1906.0,17.0,-1.0,16433.8,22131.9571564206,10969639.470588235,45.183532253038656,88.12451131497586
2025-26,GSW,Golden State Warriors,West,Pacific,204744987.0,204.744987,367550849.0,14,13,8513.0,3045.0,2199.0,37.3,10.7,17495.5,24050.861858334312,5489141.742627346,41.57855156668622,85.45019956947712
2025-26,WAS,Washington Wizards,East,Southeast,187597635.0,187.597635,294707353.0,20,11,7934.0,2766.0,1930.0,12.8,-1.7000000000000002,15990.2,23644.77375850769,14656065.234375,42.29264404106161,85.23668222150029
2025-26,LAC,Los Angeles Clippers,West,Pacific,209763864.0,209.763864,356725316.0,17,11,8629.0,2993.0,1676.0,38.4,8.200000000000001,16995.6,24309.174180090395,5462600.625,41.13673268337581,81.02253493957376
2025-26,LAL,Los Angeles Lakers,West,Pacific,245619068.0,245.619068,324638527.0,16,11,9528.0,3379.0,2134.0,48.1,13.2,18831.8,25778.659529806886,5106425.53014553,38.79177654073665,76.67075749998367
